1006HE2101 001;4096400149611
1006HE2101 002;3983000149612
1006HE2101 003;6869600149613
1006HE2101 004;5756300149614
1006HE2101 005;4642900149615
1010GE2101 001;6852200149900
1010GE2101 002;5738900149901
1010GE2101 003;3625600149902
1010GE2101 004;2512200149903
1010GE2101 005;6398900149904
1010GE2101 006;5799000149905
1010GE2101 007;3685700149906
1010GE2101 008;6973600149907
1010GE2101 009;2555000149908
1010GE2101 010;6441600149909
1011GE2101 001;2663700149881
1011GE2101 002;6550300149882
1011GE2101 003;5437000149883
1011GE2101 004;4323600149884
1011GE2101 005;2210300149885
1011GE2101 006;6097000149886
1011GE2101 007;2281500149887
1011GE2101 008;5168100149888
1011GE2101 009;6749400149889
1011GE2101 010;4037400149890
1011GE2101 011;5714700149891
1011GE2101 012;5697300149892
1011GE2101 013;4475100149893
1011GE2101 014;3858900149894
1011GE2101 015;6135100149895
1011GE2101 016;4423000149896
1011GE2101 017;4004400149897
1011GE2101 018;4986900149898
1072RE2101 001;2084100147592
1072RE2101 002;3583000147593
1072RE2101 003;5686800147594
1072RE2101 004;4349200147595
1072RE2101 005;5208300147596
1072RE2101 006;3826600149125
1085E2101 001;6342700148448
1085E2101 002;5229300148449
1085E2101 003;4116000148450
1085E2101 004;5144200148451
1085E2101 005;3030800148452
1085E2101 006;2917400148453
1085E2101 007;2524200148454
1085E2101 008;3105600148455
1085E2101 009;6393500148456
1085E2101 010;6564500148457
1085E2101 011;4852400148458
1085E2101 012;4433800148459
108GE2101 001;4136400149841
108GE2101 002;3023100149842
108GE2101 003;2909700149843
108GE2101 004;5796300149844
108GE2101 005;4683000149845
108GE2101 006;4838200149846
108GE2101 007;2126200149847
108GE2101 008;5012900149848
108GE2101 009;6594200149849
108GE2101 010;2175600149850
108GE2101 011;5168200149851
108GE2101 012;5150800149852
108GE2101 013;3438700149853
108GE2101 014;5714700149854
108GE2101 015;3002700149855
108GE2101 016;6088500149856
108GE2101 017;2669800149857
